Inverse Ranking,State,Population,Rank,City ,County,latitude,longitude
30.0,AK,275043.0,71.0,Anchorage,Anchorage Borough,61.2175064086914,-149.902496337891
19.0,AL,231483.0,82.0,Birmingham,Jefferson County,33.5206680297852,-86.802490234375
18.0,AZ,226013.0,83.0,Scottsdale,Maricopa County,33.5092124938965,-111.899032592773
25.0,AZ,239435.0,76.0,Glendale,Maricopa County,33.5386505126953,-112.185989379883
59.0,AZ,442780.0,42.0,Mesa,Maricopa County,33.4222640991211,-111.822631835938
23.0,AZ,234939.0,78.0,Chandler,Maricopa County,33.3061599731445,-111.841255187988
69.0,AZ,515526.0,32.0,Tucson,Pima County,32.2217445373535,-110.926475524902
3.0,CA,207011.0,98.0,Modesto,Stanislaus County,37.639102935791,-120.996871948242
63.0,CA,456441.0,38.0,Sacramento,Sacramento County,38.5815734863281,-121.494400024414
86.0,CA,739426.0,15.0,San Francisco,San Francisco County,37.7749328613281,-122.419410705566
25.0,CA,239435.0,76.0,Glendale,Los Angeles County,34.1425094604492,-118.255081176758
56.0,CA,395274.0,45.0,Oakland,Alameda County,37.8043670654297,-122.270805358887
35.0,CA,286926.0,66.0,Stockton,San Joaquin County,37.9577026367188,-121.29077911377
36.0,CA,290086.0,65.0,Riverside,Riverside County,33.9533462524414,-117.396156311035
45.0,CA,331804.0,56.0,Anaheim,Orange County,33.8352966308594,-117.914505004883
67.0,CA,474014.0,34.0,Long Beach,Los Angeles County,33.766960144043,-118.189231872559
46.0,CA,340368.0,55.0,Santa Ana,Orange County,33.7455787658691,-117.867835998535
91.0,CA,912332.0,10.0,San Jose,Santa Clara County,37.3393821716309,-121.894958496094
6.0,CA,210497.0,95.0,Chula Vista,San Diego County,32.6400527954102,-117.084190368652
37.0,CA,295536.0,64.0,Bakersfield,Kern County,35.3732872009277,-119.018714904785
64.0,CA,461116.0,37.0,Fresno,Fresno County,36.747730255127,-119.772369384766
75.0,CO,557917.0,26.0,Denver,Denver County,39.7391586303711,-104.984703063965
51.0,CO,369815.0,50.0,Colorado Springs,El Paso County,38.8338813781738,-104.821357727051
39.0,CO,297235.0,62.0,Aurora,Arapahoe County,39.7294273376465,-104.831924438477
74.0,DC,550521.0,27.0,Washington,District of Columbia,38.8951110839844,-77.0363693237305
43.0,FL,325989.0,58.0,Tampa,Hillsborough County,27.9475193023682,-82.4584274291992
13.0,FL,220485.0,88.0,Hialeah,Miami-Dade County,25.857593536377,-80.2780990600586
88.0,FL,782623.0,13.0,Jacksonville,Duval County,30.3321781158447,-81.655647277832
9.0,FL,213223.0,92.0,Orlando,Orange County,28.5383396148682,-81.3792343139648
55.0,FL,386417.0,46.0,Miami,Miami-Dade County,25.7742671966553,-80.1936645507812
65.0,GA,470688.0,36.0,Atlanta,Fulton County,33.7489967346191,-84.3879852294922
53.0,HI,377379.0,48.0,Honolulu,Honolulu County,21.3037757873535,-157.855560302734
39.0,IL,297235.0,62.0,Aurora,Kane County,41.7605895996094,-88.320068359375
98.0,IL,2842518.0,3.0,Chicago,Cook County,41.8500328063965,-87.6500549316406
89.0,IN,784118.0,12.0,Indianapolis,Marion County,39.7684478759766,-86.1582870483398
