city,latitude,pop_dens_2000_sqmi,rank,pop_2007,longitude,state
New York City,40.71,26403.8,1,8310212,-74.01,New York
Los Angeles,34.05,7876.4,2,3834340,-118.25,California
Chicago,41.88,12752.2,3,2836658,-87.63,Illinois
Houston,29.76,3371.8,4,2208180,-95.37,Texas
Phoenix,33.45,2781.7,5,1552259,-112.08,Arizona
Philadelphia,39.95,11232.8,6,1449634,-75.16,Pennsylvania
San Antonio,29.42,2808.3,7,1328984,-98.49,Texas
San Diego,32.72,3772.4,8,1266731,-117.16,California
Dallas,32.78,3470.3,9,1266372,-96.8,Texas
San Jose,37.34,5116.9,10,939899,-121.89,California
Detroit,42.33,6853.5,11,916952,-83.05,Michigan
Jacksonville,30.33,970.9,12,805605,-81.66,Florida
San Francisco,37.78,16632.4,13,799185,-122.42,California
Indianapolise,39.77,2162.8,14,795458,-86.15,Indiana
Columbus,39.96,3383.1,15,747755,-83,Ohio
Austin,30.27,2610.6,16,743074,-97.74,Texas
Fort Worth,32.75,1828,17,681818,-97.33,Texas
Memphis,35.15,2327.6,18,674028,-90.05,Tennessee
Charlotte,35.22,2232.1,19,671588,-80.84,North Carolina
Baltimore,39.29,8058.8,20,640150,-76.61,Maryland
Boston,42.36,12172.3,21,608352,-71.06,Massachusetts
El Paso,31.76,2262.8,22,606913,-106.49,Texas
Milwaukee,43.04,6212,23,602191,-87.91,Wisconsin
Seattle,47.6,6714.8,24,594210,-122.33,Washington
Nashvillee,36.17,1152.6,25,590807,-86.78,Tennessee
Denver,39.74,3615.6,26,588349,-104.99,Colorado
Washington,38.89,9316.9,27,588292,-77.03,District of Columbia
Las Vegas,36.17,4222.7,28,558880,-115.14,Nevada
Louisvillee,38.25,4126.1,29,557789,-85.77,Kentucky
Portland,45.51,3939.8,30,550396,-122.68,Oregon
Oklahoma City,35.47,833.8,31,547274,-97.52,Oklahoma
Tucson,32.22,2499.7,32,525529,-110.97,Arizona
Atlanta,33.75,3162.3,33,519145,-84.39,Georgia
Albuquerque,35.08,2484,34,518271,-106.65,New Mexico
Kansas City,39.1,1408.4,35,475830,-94.58,Missouri
Fresno,36.74,4096.3,36,470508,-119.79,California
Long Beach,33.77,9157.2,37,466520,-118.19,California
Sacramento,38.58,4187.4,38,460242,-121.49,California
Mesa,33.42,3171,39,452933,-111.83,Arizona
Cleveland,41.5,6165,40,438042,-81.69,Ohio
Virginia Beach,36.76,1712.7,41,434743,-76.06,Virginia
Miami,25.73,10153.2,42,424662,-80.24,Florida
Omaha,41.26,3370.8,43,424482,-95.94,Nebraska
Oakland,37.81,7120.9,44,401489,-122.27,California
Tulsa,36.15,2152.5,45,384037,-95.99,Oklahoma
Minneapolis,44.98,6969.4,46,377392,-93.26,Minnesota
